# The phase-gate criteria (docs/13, G7-G9; the G0-G6 rows are docs/7's, closed history the
# v3 plan carries by reference and this file keeps runnable). One row per criterion; adding
# a criterion is adding a line. Tab-separated:
#
#   phase     the gate it belongs to: g0 .. g9
#   kind      `tests`   — a cargo-nextest filterset, run with --no-tests=fail
#             `command` — a command run from the repository root
#   selection the filterset or the command
#   what      what the criterion establishes, in the words its plan uses (docs/7 for
#             g0-g6, docs/13 from g7 on)
#
# Two readers: `phase.sh` runs the rows for one phase and counts them, and
# `counted-selections.sh` proves every `tests` row still selects more than zero tests —
# the predecessor's defect was a gate whose selection had silently gone to zero while the
# gate stayed green.
#
# phase	kind	selection	what
g0	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree
g0	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions
g0	command	./scripts/gates/license-allowlist.sh	cargo-deny proves the allowlist and the named bans over the shipped tree
g0	tests	package(webcam-handler-schema)	schema round-trips over every control type, Unknown included (D2)
g0	tests	package(webcam-handler-schema) and test(/(every_four_byte_value_survives_the_wire_spelling_that_names_it|two_different_fourccs_cannot_share_one_spelling|a_pixel_format_crosses_json_as_its_fourcc_rather_than_as_four_numbers)/)	**a FourCC's wire form is the four characters, and the spelling is a bijection** (owner ruling, 2026-08-14; note **N109**). The type was `#[serde(transparent)]` over `[u8; 4]`, so `FormatUnsupported` — the refusal AGENTS' primary consumer is supposed to act on — reached an agent as `{"available": [[77,74,80,71],[89,85,89,86]]}` while the CLI table and the D13 message beside it said `MJPG, YUYV`. The ruling picks one spelling for all three. This row is the claim the spelling has to earn to be usable at all: the encoder (`Display`) and the decoder (`PixelFormat::parse`) are inverse over **every** four-byte value, not over the five this build names. The population is generated — the exhaustive cross product of every byte whose spelling can interact with another's (`\\`, `x`, both cases of every hex digit, and non-graphic bytes spanning the escape space) plus a seeded sweep of the whole space, 727 281 values — because note **N108**'s class applies here exactly: a list of the cases somebody thought of cannot constrain the byte nobody thought of. The injectivity half is separate and is the one a round trip alone would miss: a decoder that answered correctly for every string it was handed would still be useless if two formats spelled the same, since the ambiguity would be in what the wire carries. Alongside them the JSON claim itself, red against the transparent newtype in both directions — the array form is refused on the way in rather than accepted beside the string, because the owner chose one shape over "accept both" and a build that quietly took the array back would make that choice unobservable
g0	tests	package(webcam-handler-imaging)	metric ordering tests over synthetic fixtures, both directions
g0	tests	package(webcam-handler-engine)	the engine pure cores and the inverse fixtures each one refuses
g0	tests	package(webcam-handler-fake)	the fake passes the backend conformance battery (design 2.11)
g0	tests	package(webcam-handler-testkit)	the battery and the corpus loader hold their own invariants
g1	command	cargo clippy --locked --offline --workspace --all-targets -- -D warnings	zero clippy violations across the workspace, tests included (docs/7 G1 says so and nothing ran it)
g1	command	cargo deny --offline check bans licenses sources	zero cargo-deny violations: the allowlist and every named ban
g1	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree, the P1 additions included
g1	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions
g1	command	./scripts/gates/corpus-floor.sh	every committed device profile is loaded and replayed by a test — no dead corpus
g1	command	./scripts/gates/json-validates.sh	webcam-handler-cli list/info/controls/profile-capture --json validate against the committed JSON Schema bundle
g1	command	./scripts/gates/feature-posture.sh	the v4l libv4l feature ban holds, proven by selftest
g1	command	./scripts/rung-vivid.sh	the R2 vivid rung runs or reports a named, counted skip — never silence
g1	command	./scripts/miri.sh	Miri green over the sys-decode units, or a named counted skip where it is not installed
g1	command	./scripts/smoke-hw.sh	the R3 hardware recipe exists and selects tests (the run itself is evidence, not CI-gating)
g1	tests	package(webcam-handler-v4l2)	sysfs enumeration, the grouping rule, and the pure decode units over captured replies
g1	tests	package(webcam-handler-v4l2) and test(/^sys::decode/)	the raw-struct decode path Miri also executes, over real captured ioctl replies
g1	tests	package(webcam-handler-fake) and binary(corpus_replay)	every committed profile replays through the battery and carries its probe findings
g1	tests	package(webcam-handler-cli-core)	the one command surface: the clap tree, the --json contract, and both renderings
g1	tests	package(webcam-handler-cli)	the webcam-handler-cli composition root's backend selection and profile reading
g1	tests	package(webcam-handler-engine) and test(/^profile::/)	the T3 invariant/state split, and that using a camera does not read as corpus drift
g2	command	cargo clippy --locked --offline --workspace --all-targets -- -D warnings	zero clippy violations across the workspace, tests included
g2	command	cargo deny --offline check bans licenses sources	zero cargo-deny violations: the allowlist and every named ban
g2	command	./scripts/gates/run-all.sh	every shipped gate predicate green over the tree, the P2 additions included
g2	command	./scripts/gates/selftest.sh	every shipped gate predicate red on its own inverse, counted, both directions
g2	command	./scripts/gates/json-validates.sh	webcam-handler-cli get/set/snapshot/restore/photo --json validate against the committed JSON Schema bundle
g2	command	./scripts/gates/schema-artifacts-current.sh	the committed bundle still describes the P2 write and photo answers
g2	command	./scripts/gates/no-frame-bytes-in-repo.sh	the photo tests wrote no camera frame into the tree (rubric A12)
g2	command	./scripts/miri.sh	Miri green over the sys-decode units, the P2 buffer and format decoders included
g2	command	./scripts/rung-vivid.sh	the R2 vivid rung runs its write and stream arms, or reports a named counted skip
